S.No,District,Year,Season,Crop,Rainfall(mm),Minimum Temparature(C),Maximum Temperature (C),Ph,N(Kg/Hectar),P(Kg/Hectar),K(Kg/Hectar),Zn(ppm),Fe(ppm),Cu(ppm),Mn(ppm),Irrigation(MBGL),Yield (Bales/Hectare)
86,Nirmal,2017 - 2018,Kharif,cotton(lint),160.56,27.5,36.2,7.45,178,19.7,331,0.35,19.1,0.99,10.36,11.25,3.34
87,Nirmal,2018 - 2019,Kharif,cotton(lint),172.76,,,7.45,178,19.7,331,0.35,19.1,0.99,10.36,13.48,2.64
88,Nirmal,2019 - 2020,Kharif,cotton(lint),198.7,18,45.5,7.45,178,19.7,331,0.35,19.1,0.99,10.36,13.04,2.95
89,Nizamabad,2014 - 2015,Kharif,cotton(lint),103.5,28.1,40.6,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,,1.19
90,Nizamabad,2015 - 2016,Kharif,cotton(lint),90.82,27,38.5,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,,0.99
91,Nizamabad,2016 - 2017,Kharif,cotton(lint),273.02,26.1,36.8,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,21.23,2.31
92,Nizamabad,2017 - 2018,Kharif,cotton(lint),144.94,26.1,38.1,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,10.85,3.41
93,Nizamabad,2018 - 2019,Kharif,cotton(lint),168.88,,,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,15.63,2.88
94,Nizamabad,2019 - 2020,Kharif,cotton(lint),255.82,17.6,46,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,17.2,4.11
95,Peddapalli,2016 - 2017,Kharif,cotton(lint),210.42,27.4,38.6,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.61,3.2
96,Peddapalli,2017 - 2018,Kharif,cotton(lint),136.86,27,36.9,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,8.68,3.22
97,Peddapalli,2018 - 2019,Kharif,cotton(lint),226.54,,,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.52,3.16
98,Peddapalli,2019 - 2020,Kharif,cotton(lint),244.94,20.9,45,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.59,3.01
99,Rajanna,2016 - 2017,Kharif,cotton(lint),218.46,25.8,36.7,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,17.95,3.2
100,Rajanna,2017 - 2018,Kharif,cotton(lint),125.2,27.1,36.3,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,14.3,3.36
101,Rajanna,2018 - 2019,Kharif,cotton(lint),129.3,,,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,15.06,2.69
